TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Yunnan,Zhejiang,2025.08.19.12,15200.0
Yunnan,Zhejiang,2025.08.19.16,15200.0
Yunnan,Zhejiang,2025.08.19.20,15200.0
Yunnan,Zhejiang,2025.09.20.00,15200.0
Yunnan,Zhejiang,2025.09.20.04,15200.0
Yunnan,Zhejiang,2025.09.20.08,15200.0
Yunnan,Zhejiang,2025.09.20.12,15200.0
Yunnan,Zhejiang,2025.09.20.16,15200.0
Yunnan,Zhejiang,2025.09.20.20,15200.0
Yunnan,Zhejiang,2025.10.26.00,8935.222889549186
Yunnan,Zhejiang,2025.10.26.04,5161.004835007219
Yunnan,Zhejiang,2025.10.26.08,10684.253140118028
Yunnan,Zhejiang,2025.10.26.12,15200.0
Yunnan,Zhejiang,2025.10.26.16,15200.0
Yunnan,Zhejiang,2025.10.26.20,14443.179329573592
Yunnan,Zhejiang,2025.11.19.00,0.0
Yunnan,Zhejiang,2025.11.19.04,0.0
Yunnan,Zhejiang,2025.11.19.08,0.0
Yunnan,Zhejiang,2025.11.19.12,0.0
Yunnan,Zhejiang,2025.11.19.16,0.0
Yunnan,Zhejiang,2025.11.19.20,0.0
Yunnan,Zhejiang,2025.12.16.00,0.0
Yunnan,Zhejiang,2025.12.16.04,0.0
Yunnan,Zhejiang,2025.12.16.08,0.0
Yunnan,Zhejiang,2025.12.16.12,1946.661251303006
Yunnan,Zhejiang,2025.12.16.16,7376.766650425072
Yunnan,Zhejiang,2025.12.16.20,0.0
Zhejiang,Yunnan,2025.01.22.00,0.0
Zhejiang,Yunnan,2025.01.22.04,0.0
Zhejiang,Yunnan,2025.01.22.08,0.0
Zhejiang,Yunnan,2025.01.22.12,0.0
Zhejiang,Yunnan,2025.01.22.16,0.0
Zhejiang,Yunnan,2025.01.22.20,0.0
Zhejiang,Yunnan,2025.02.08.00,0.0
Zhejiang,Yunnan,2025.02.08.04,0.0
Zhejiang,Yunnan,2025.02.08.08,0.0
Zhejiang,Yunnan,2025.02.08.12,0.0
Zhejiang,Yunnan,2025.02.08.16,0.0
Zhejiang,Yunnan,2025.02.08.20,0.0
Zhejiang,Yunnan,2025.03.21.00,0.0
Zhejiang,Yunnan,2025.03.21.04,0.0
Zhejiang,Yunnan,2025.03.21.08,0.0
Zhejiang,Yunnan,2025.03.21.12,0.0
Zhejiang,Yunnan,2025.03.21.16,0.0
Zhejiang,Yunnan,2025.03.21.20,0.0
Zhejiang,Yunnan,2025.04.11.00,0.0
Zhejiang,Yunnan,2025.04.11.04,0.0
Zhejiang,Yunnan,2025.04.11.08,0.0
