GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Beijing-Wind-2022,2025.07.22.20,0.0464535
Beijing-Wind-2022,2025.08.19.00,0.120257
Beijing-Wind-2022,2025.08.19.04,0.15917
Beijing-Wind-2022,2025.08.19.08,0.134708
Beijing-Wind-2022,2025.08.19.12,0.128164
Beijing-Wind-2022,2025.08.19.16,0.124707
Beijing-Wind-2022,2025.08.19.20,0.121622
Beijing-Wind-2022,2025.09.20.00,0.145365
Beijing-Wind-2022,2025.09.20.04,0.152198
Beijing-Wind-2022,2025.09.20.08,0.215655
Beijing-Wind-2022,2025.09.20.12,0.263958
Beijing-Wind-2022,2025.09.20.16,0.288039
Beijing-Wind-2022,2025.09.20.20,0.22544299999999998
Beijing-Wind-2022,2025.10.26.00,0.22822
Beijing-Wind-2022,2025.10.26.04,0.206927
Beijing-Wind-2022,2025.10.26.08,0.137878
Beijing-Wind-2022,2025.10.26.12,0.118176
Beijing-Wind-2022,2025.10.26.16,0.143765
Beijing-Wind-2022,2025.10.26.20,0.133363
Beijing-Wind-2022,2025.11.19.00,0.0418615
Beijing-Wind-2022,2025.11.19.04,0.0670651
Beijing-Wind-2022,2025.11.19.08,0.0765328
Beijing-Wind-2022,2025.11.19.12,0.0544134
Beijing-Wind-2022,2025.11.19.16,0.0792155
Beijing-Wind-2022,2025.11.19.20,0.141548
Beijing-Wind-2022,2025.12.16.00,0.46266500000000005
Beijing-Wind-2022,2025.12.16.04,0.487366
Beijing-Wind-2022,2025.12.16.08,0.499684
Beijing-Wind-2022,2025.12.16.12,0.459914
Beijing-Wind-2022,2025.12.16.16,0.541139
Beijing-Wind-2022,2025.12.16.20,0.595585
Chongqing-Central_PV-2022,2025.01.22.00,0.0
Chongqing-Central_PV-2022,2025.01.22.04,0.0
Chongqing-Central_PV-2022,2025.01.22.08,0.010501500000000002
Chongqing-Central_PV-2022,2025.01.22.12,0.201418
Chongqing-Central_PV-2022,2025.01.22.16,0.36506
Chongqing-Central_PV-2022,2025.01.22.20,0.0
Chongqing-Central_PV-2022,2025.02.08.00,0.0
Chongqing-Central_PV-2022,2025.02.08.04,0.0
Chongqing-Central_PV-2022,2025.02.08.08,0.0302848
Chongqing-Central_PV-2022,2025.02.08.12,0.572696
Chongqing-Central_PV-2022,2025.02.08.16,0.440436
Chongqing-Central_PV-2022,2025.02.08.20,0.0
Chongqing-Central_PV-2022,2025.03.21.00,0.0
Chongqing-Central_PV-2022,2025.03.21.04,0.0
Chongqing-Central_PV-2022,2025.03.21.08,0.027589600000000002
Chongqing-Central_PV-2022,2025.03.21.12,0.339224
Chongqing-Central_PV-2022,2025.03.21.16,0.171829
