GEN_TPS_1,GEN_TPS_2,DispatchGen
Beijing-Central_PV-2022,2025.06.16.00,0.0
Beijing-Central_PV-2022,2025.06.16.04,0.0
Beijing-Central_PV-2022,2025.06.16.08,25.542321875000006
Beijing-Central_PV-2022,2025.06.16.12,30.73829412500001
Beijing-Central_PV-2022,2025.06.16.16,23.48992012500001
Beijing-Central_PV-2022,2025.06.16.20,0.0
Beijing-Central_PV-2022,2025.07.22.00,0.0
Beijing-Central_PV-2022,2025.07.22.04,0.0
Beijing-Central_PV-2022,2025.07.22.08,3.213307300000001
Beijing-Central_PV-2022,2025.07.22.12,7.134197875000003
Beijing-Central_PV-2022,2025.07.22.16,2.8573321000000007
Beijing-Central_PV-2022,2025.07.22.20,0.0
